uid,paper,model,dataset,condition,seed,n_total,score,wall_s,peak_vram_gb
a1__llava16_13b__vizwiz_val__overexp_s2__seed0,a1,llava16_13b,vizwiz_val,overexp_s2,0,1500,0.6508888888888896,886.7,29.06
a1__llava16_13b__vizwiz_val__underexp_s2__seed0,a1,llava16_13b,vizwiz_val,underexp_s2,0,1500,0.6413333333333342,887.1,29.06
a1__llava16_13b__vqav2_val__clean__seed0,a1,llava16_13b,vqav2_val,clean,0,4000,0.8028333333333335,1964.3,29.56
a1__llava16_7b__vizwiz_val__blind__seed0,a1,llava16_7b,vizwiz_val,blind,0,4319,0.5036659720614334,510.8,14.2
a1__llava16_7b__vizwiz_val__blur_s1__seed0,a1,llava16_7b,vizwiz_val,blur_s1,0,1500,0.6051111111111115,653.3,15.69
a1__llava16_7b__vizwiz_val__blur_s3__seed0,a1,llava16_7b,vizwiz_val,blur_s3,0,1500,0.6277777777777783,645.2,15.69
a1__llava16_7b__vizwiz_val__blur_s5__seed0,a1,llava16_7b,vizwiz_val,blur_s5,0,1500,0.6300000000000006,638.6,15.69
a1__llava16_7b__vizwiz_val__clean__seed0,a1,llava16_7b,vizwiz_val,clean,0,4319,0.5640966273057039,1548.3,16.02
a1__llava16_7b__vizwiz_val__crop_s2__seed0,a1,llava16_7b,vizwiz_val,crop_s2,0,1500,0.602888888888889,578.3,15.69
a1__llava16_7b__vizwiz_val__crop_s4__seed0,a1,llava16_7b,vizwiz_val,crop_s4,0,1500,0.5953333333333335,577.9,15.69
a1__llava16_7b__vizwiz_val__overexp_s2__seed0,a1,llava16_7b,vizwiz_val,overexp_s2,0,1500,0.6104444444444449,569.4,15.69
a1__llava16_7b__vizwiz_val__underexp_s2__seed0,a1,llava16_7b,vizwiz_val,underexp_s2,0,1500,0.6166666666666669,559.3,15.69
a1__llava16_7b__vqav2_val__clean__seed0,a1,llava16_7b,vqav2_val,clean,0,4000,0.7995833333333335,1222.9,16.03
a1__pixtral_12b__vizwiz_val__blind__seed0,a1,pixtral_12b,vizwiz_val,blind,0,4319,0.4690900671451716,957.3,25.4
a1__pixtral_12b__vizwiz_val__blur_s1__seed0,a1,pixtral_12b,vizwiz_val,blur_s1,0,1500,0.5306666666666668,1275.0,26.35
a1__pixtral_12b__vizwiz_val__blur_s3__seed0,a1,pixtral_12b,vizwiz_val,blur_s3,0,1500,0.5573333333333336,1219.6,26.35
a1__pixtral_12b__vizwiz_val__blur_s5__seed0,a1,pixtral_12b,vizwiz_val,blur_s5,0,1500,0.5448888888888893,1149.0,26.35
a1__pixtral_12b__vizwiz_val__clean__seed0,a1,pixtral_12b,vizwiz_val,clean,0,4319,0.5063672146330164,3081.2,26.65
a1__pixtral_12b__vizwiz_val__crop_s2__seed0,a1,pixtral_12b,vizwiz_val,crop_s2,0,1500,0.5193333333333335,1200.6,26.35
a1__pixtral_12b__vizwiz_val__crop_s4__seed0,a1,pixtral_12b,vizwiz_val,crop_s4,0,1500,0.49999999999999994,1170.8,26.35
a1__pixtral_12b__vizwiz_val__overexp_s2__seed0,a1,pixtral_12b,vizwiz_val,overexp_s2,0,1500,0.5142222222222222,1171.4,26.35
a1__pixtral_12b__vizwiz_val__underexp_s2__seed0,a1,pixtral_12b,vizwiz_val,underexp_s2,0,1500,0.5273333333333335,1185.8,26.35
a1__pixtral_12b__vqav2_val__clean__seed0,a1,pixtral_12b,vqav2_val,clean,0,4000,0.7986666666666662,1177.5,25.89
a1__qwen25vl_7b__vizwiz_val__blind__seed0,a1,qwen25vl_7b,vizwiz_val,blind,0,4319,0.5174808983561009,535.9,16.61
a1__qwen25vl_7b__vizwiz_val__blur_s1__seed0,a1,qwen25vl_7b,vizwiz_val,blur_s1,0,1500,0.6628888888888892,1105.1,18.07
a1__qwen25vl_7b__vizwiz_val__blur_s3__seed0,a1,qwen25vl_7b,vizwiz_val,blur_s3,0,1500,0.7104444444444451,1087.4,18.07
a1__qwen25vl_7b__vizwiz_val__blur_s5__seed0,a1,qwen25vl_7b,vizwiz_val,blur_s5,0,1500,0.7020000000000006,1056.2,18.07
a1__qwen25vl_7b__vizwiz_val__clean__seed0,a1,qwen25vl_7b,vizwiz_val,clean,0,4319,0.6695222659566266,2815.5,18.07
a1__qwen25vl_7b__vizwiz_val__crop_s2__seed0,a1,qwen25vl_7b,vizwiz_val,crop_s2,0,1500,0.6491111111111114,1017.6,18.07
a1__qwen25vl_7b__vizwiz_val__crop_s4__seed0,a1,qwen25vl_7b,vizwiz_val,crop_s4,0,1500,0.6513333333333339,1004.7,18.07
a1__qwen25vl_7b__vizwiz_val__overexp_s2__seed0,a1,qwen25vl_7b,vizwiz_val,overexp_s2,0,1500,0.6906666666666673,1000.5,18.07
a1__qwen25vl_7b__vizwiz_val__underexp_s2__seed0,a1,qwen25vl_7b,vizwiz_val,underexp_s2,0,1500,0.6571111111111115,1011.0,18.07
a1__qwen25vl_7b__vqav2_val__clean__seed0,a1,qwen25vl_7b,vqav2_val,clean,0,4000,0.7808333333333336,701.6,16.73
a1__qwen3vl_8b__vizwiz_val__blind__seed0,a1,qwen3vl_8b,vizwiz_val,blind,0,4319,0.5296750791078185,756.9,17.57
a1__qwen3vl_8b__vizwiz_val__blur_s1__seed0,a1,qwen3vl_8b,vizwiz_val,blur_s1,0,1500,0.7053333333333336,871.8,19.16
a1__qwen3vl_8b__vizwiz_val__blur_s3__seed0,a1,qwen3vl_8b,vizwiz_val,blur_s3,0,1500,0.7595555555555561,851.7,19.16
a1__qwen3vl_8b__vizwiz_val__blur_s5__seed0,a1,qwen3vl_8b,vizwiz_val,blur_s5,0,1500,0.7551111111111117,862.1,19.16
a1__qwen3vl_8b__vizwiz_val__clean__seed0,a1,qwen3vl_8b,vizwiz_val,clean,0,4319,0.6944508759743782,2154.1,19.16
a1__qwen3vl_8b__vizwiz_val__crop_s2__seed0,a1,qwen3vl_8b,vizwiz_val,crop_s2,0,1500,0.6955555555555563,812.2,19.16
a1__qwen3vl_8b__vizwiz_val__crop_s4__seed0,a1,qwen3vl_8b,vizwiz_val,crop_s4,0,1500,0.684444444444445,789.2,19.16
a1__qwen3vl_8b__vizwiz_val__overexp_s2__seed0,a1,qwen3vl_8b,vizwiz_val,overexp_s2,0,1500,0.7275555555555558,775.8,19.16
a1__qwen3vl_8b__vizwiz_val__underexp_s2__seed0,a1,qwen3vl_8b,vizwiz_val,underexp_s2,0,1500,0.7022222222222225,777.5,19.16
a1__qwen3vl_8b__vqav2_val__clean__seed0,a1,qwen3vl_8b,vqav2_val,clean,0,4000,0.7166666666666667,675.3,17.69
